vid,route,ts,lat,lon,speed
11-9345 1,145.0,2023-10-30 06:40:42,13.64475,100.67561,16
11-9345 1,145.0,2023-10-30 06:41:42,13.644417,100.675222,0
11-9345 1,145.0,2023-10-30 06:41:42,13.644417,100.675222,0
11-9345 1,145.0,2023-10-30 06:42:27,13.644417,100.675222,0
11-9345 1,145.0,2023-10-30 06:42:27,13.644417,100.675222,0
11-9345 1,145.0,2023-10-30 06:42:42,13.644417,100.675222,0
11-9345 1,145.0,2023-10-30 06:42:42,13.644417,100.675222,0
11-9345 1,145.0,2023-10-30 06:42:42,13.644417,100.675222,0
11-9345 1,145.0,2023-10-30 06:42:42,13.644417,100.675222,0
11-9345 1,145.0,2023-10-30 06:42:42,13.644417,100.675222,0
11-9345 1,145.0,2023-10-30 06:42:42,13.644417,100.675222,0
11-9345 1,145.0,2023-10-30 07:19:02,13.649277,100.68011,18
11-9345 1,145.0,2023-10-30 07:19:02,13.649277,100.68011,18
11-9345 1,145.0,2023-10-30 07:19:02,13.649277,100.68011,18
11-9345 1,145.0,2023-10-30 07:20:02,13.649167,100.679638,23
11-9345 1,145.0,2023-10-30 07:20:02,13.649167,100.679638,23
11-9345 1,145.0,2023-10-30 07:20:47,13.65011,100.680277,2
11-9345 1,145.0,2023-10-30 07:21:02,13.650193,100.680333,3
11-9345 1,145.0,2023-10-30 07:21:32,13.650667,100.679805,21
11-9345 1,145.0,2023-10-30 07:22:02,13.651638,100.678055,28
11-9345 1,145.0,2023-10-30 07:22:32,13.652277,100.676833,12
11-9345 1,145.0,2023-10-30 07:23:02,13.65275,100.676,3
11-9345 1,145.0,2023-10-30 07:23:02,13.65275,100.676,3
11-9345 1,145.0,2023-10-30 07:24:02,13.653,100.675555,8
11-9345 1,145.0,2023-10-30 07:24:17,13.653167,100.67525,7
11-9345 1,145.0,2023-10-30 07:24:17,13.653167,100.67525,7
11-9345 1,145.0,2023-10-30 07:25:17,13.65361,100.674417,3
11-9345 1,145.0,2023-10-30 07:25:17,13.65361,100.674417,3
11-9345 1,145.0,2023-10-30 07:26:02,13.655277,100.6715,32
11-9345 1,145.0,2023-10-30 07:26:17,13.655972,100.670222,42
